Country,None,ISCED 1,ISCED 2,"ISCED 3A,4","ISCED 3B,C","ISCED 5A,6",ISCED 5B
Brazil,347.87,361.6,372.78,394.52,375.46,425.39,395.65
Canada,465.3,467.94,472.94,499.61,0,530.73,510.29
Florida (USA),413.86,465.62,443.41,460.73,0,483.61,459.65
Italy,397.07,434.07,471.91,503.19,510.85,509.39,476.5
Czech Republic,435.99,391.93,461.28,519.86,484.5,579.25,497.64
Connecticut (USA),422.39,455.98,426.12,477.72,0,537.06,488.51
United States of America,448.7,448.92,439.08,472.73,0,510.49,481.05
China-Shanghai,524.95,554.45,593.29,616.7,614.32,644.73,644.64
Lithuania,408.28,407.06,442.66,457.53,446.26,503.85,487.46
Costa Rica,371.1,389.47,393.7,411.41,410.13,439.16,388.16
Luxembourg,438.99,443.24,463.34,499.34,491.95,532.93,508.14
France,422.42,413.47,456.47,509.59,479.5,537.01,526.05
Hong Kong-China,535.14,554.86,540.58,574.13,566.74,603.75,590.52
Slovak Republic,299.23,348.66,364.87,495.23,453.95,538.81,483.47
Netherlands,448.07,506.64,508.09,517.26,0,537.58,533.43
Ireland,399.1,445.28,478.79,497.47,431.16,526.78,511.1
Argentina,344.13,367.28,383.6,404.93,0,430.83,411.01
Norway,384,479.17,458.63,481.79,481.86,506.64,503.75
Thailand,415.16,412.47,424.53,441.86,454.06,514.24,0
Massachusetts (USA),474.5,443.15,439.73,483.93,0,542.28,494.26
Israel,378.74,368.46,395.48,451.99,439.42,516.82,465.41
Australia,419.89,455.65,471.48,489.21,461.45,536.31,488.3
Singapore,515.81,528.94,545.11,563.24,0,620.03,580.18
Iceland,0,0,466.31,491.15,480.01,512.26,484.13
Montenegro,359.3,349.04,369.11,404.88,402.39,428.58,418.27
Slovenia,398.95,424.67,444.55,482.74,476.72,521.29,507.21
Germany,422.08,366.33,504.05,538.3,526.91,557.62,529.32
Chile,378.24,391.01,390.51,437.63,0,505.25,465.14
Perm(Russian Federation),0,0,454.48,456.72,456.05,509.67,474.21
Belgium,430.79,473.54,493.84,513.91,491.42,545.25,544.24
Jordan,356.29,353.46,370.34,386.75,363.59,393.36,406.19
Kazakhstan,395.65,361.83,406.26,419.62,415.61,441.6,428.8
Spain,410.72,465.4,478.09,496.6,477.36,528.75,497.1
Portugal,450.69,457.03,473.29,510.1,494.94,543.78,476.97
Indonesia,354.8,369.5,367.88,381.67,400.56,405.83,398.2
Qatar,334.09,332.79,344.94,376.25,365.08,396.62,385.2
Denmark,414.05,418.63,451.14,485.49,482.14,512.82,508.48
Poland,412.27,0,459.99,520.01,489.48,574.36,0
Finland,413.51,460.65,467.74,495.5,492.6,528.06,513.65
Turkey,413.26,445.92,445.95,495.13,432.06,526.54,486.69
Macao-China,524.02,538.47,535.34,550.72,540.65,557.55,548.21
Liechtenstein,420.32,489.34,503.65,531.55,557.67,554.45,544.9
Korea,531.8,532.21,506.02,539.59,545.26,581.99,568.42
Croatia,396.01,413.07,433.04,476.67,454.02,514.89,448.21
Vietnam,474.89,496.54,508,538.12,564.5,563.64,0
Japan,0,0,487.39,515.72,532.2,565.57,556.43
Switzerland,428.88,464.68,489.71,522.57,540.49,549.9,525.05
New Zealand,443.48,450.82,475.3,499.76,498.99,541.09,515.5
Bulgaria,328.49,365.11,371.88,436.85,427.18,482.16,454.94
Romania,399.45,387.18,428.07,439.35,426.43,475.57,444.38
Albania,403.91,391.68,391.3,394.76,399.99,397.57,381.48
Chinese Taipei,484.39,494.79,518.46,540.75,561.62,628.31,574.37
Estonia,472.39,533.68,493.2,514.11,511.96,543.12,521.82
Mexico,386.66,399.24,418.57,433.47,442.06,444.57,433.97
Russian Federation,542.77,395.63,422.74,455.01,465.55,509.72,470.12
United Arab Emirates,383.21,394.4,398.6,421.96,410.78,462.44,437.93
Uruguay,340.82,380.29,396.95,435.29,418.04,470.22,443.41
Serbia,354.67,371.02,410.35,461.46,445.27,488.35,440.32
Sweden,391.01,437.97,452.03,490.04,467.9,495.7,485.75
Peru,323.76,342.78,349.55,384.49,0,406.96,419.76
United Kingdom,415.95,458.36,461.18,494.56,484.84,522.38,488.94
Malaysia,389.49,407.46,408.45,423.78,391.92,451.24,438.43
Austria,406.53,425.05,464.74,524.19,500.44,550.19,512.03
Latvia,408.92,402.24,451.93,479.99,492.9,519,508.45
Tunisia,371.13,373.84,381.24,397.61,354.48,432.87,422.36
Colombia,345.91,364.51,369.45,398.13,0,425.05,396.73
Greece,389.8,403.28,421.97,450.12,430.99,488.3,454.33
Hungary,334.93,374.56,420.35,488.95,467.66,523.7,501.21
